GEOID,year,total_crashes,persons_injured,persons_killed,pedestrians_injured,pedestrians_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed,total_population,crash_rate_per_1000,injury_rate_per_1000,fatality_rate_per_1000
36061001300,2020,103,23,0,1,0,7,0,15,0,67789.74,1.51940396880118,0.339284381382787,0
36061001300,2021,74,21,0,5,0,6,0,9,0,68106.88,1.08652752849639,0.308338893221948,0
36061001300,2022,51,10,0,3,0,3,0,4,0,69330.8,0.73560380090811,0.144236039393747,0
36061001300,2023,62,22,0,9,0,4,0,8,0,76038.84,0.815372775281685,0.28932582348705,0
36061001401,2018,30,8,0,0,0,1,0,7,0,42883.98,0.699561934316731,0.186549849151128,0
36061001401,2019,33,7,0,4,0,2,0,1,0,40782.92,0.809162266949007,0.171640480867971,0
36061001401,2020,16,7,0,2,0,2,0,3,0,39921.89,0.400782628277369,0.175342399871349,0
36061001401,2021,18,14,0,4,0,3,0,7,0,40432.93,0.445181687302899,0.34625242345781,0
36061001401,2022,12,8,0,5,0,1,0,1,0,41414.89,0.289750860137501,0.193167240091668,0
36061001401,2023,11,11,0,4,0,1,0,4,0,44000.9,0.249994886468231,0.249994886468231,0
36061001402,2018,139,35,0,8,0,12,0,15,0,37255.95,3.7309476741299,0.939447256075875,0
36061001402,2019,127,28,0,4,0,5,0,19,0,39163.95,3.24277811609912,0.714943206699018,0
36061001402,2020,62,30,0,6,0,8,0,16,0,37030.82,1.67428104481618,0.810135989427185,0
36061001402,2021,66,30,0,7,0,9,0,12,0,42355.93,1.55822337037577,0.708283350170802,0
36061001402,2022,72,26,0,7,0,4,0,13,0,44913.86,1.60306862959452,0.578885894020242,0
36061001402,2023,77,46,0,10,0,7,0,28,0,46980.85,1.63896566366935,0.979122344529739,0
36061001501,2018,374,97,0,13,0,10,0,74,0,95199.9156590259,3.92857490903188,1.01890846571148,0
36061001501,2019,186,44,0,12,0,7,0,25,0,99633.441577565,1.86684307050859,0.441618790873001,0
36061001501,2020,85,22,0,6,0,7,0,9,0,103307.03,0.822790085050359,0.21295743377774,0
36061001501,2021,71,14,0,6,0,3,0,3,0,98020.09,0.724341305950648,0.142827863145198,0
36061001501,2022,62,9,0,2,0,3,0,4,0,97250.17,0.637531019225982,0.0925448253715135,0
36061001501,2023,57,17,0,6,0,3,0,8,0,97772.11,0.582988338903599,0.1738737151116,0
36061001502,2018,146,20,0,7,0,3,0,10,0,107652.26,1.3562186246717,0.185783373242698,0
36061001502,2019,113,15,0,6,0,3,0,6,0,114199.21,0.989498964134691,0.131349420017879,0
36061001502,2020,36,7,0,2,0,4,0,1,0,110566.08,0.325597145164231,0.0633105560041561,0
36061001502,2021,48,11,0,1,0,6,0,3,0,114533.07,0.41909293097618,0.0960421300153746,0
36061001502,2022,58,19,0,8,0,7,0,2,0,120996.94,0.47935096540458,0.157028764529086,0
36061001502,2023,44,17,0,8,0,3,0,4,0,118895.88,0.370071696344735,0.142982246315011,0
36061001600,2018,213,64,1,27,1,22,0,15,0,92337.36,2.30675860778346,0.693110567596908,0.0108298526187017
36061001600,2019,211,48,0,18,0,14,0,16,0,89575.36,2.35555849287125,0.535861647667394,0
36061001600,2020,83,41,0,8,0,13,0,20,0,97083.38,0.854935211361615,0.422317393564171,0
36061001600,2021,100,52,0,18,0,20,0,10,0,103455.34,0.966600660729548,0.502632343579365,0
36061001600,2022,75,42,0,14,0,10,0,15,0,99732.18,0.752014044012675,0.421127864647098,0
36061001600,2023,86,45,2,11,2,13,0,20,0,90840.05,0.946718985733715,0.495376213465316,0.0220167205984585
36061001800,2018,445,78,0,16,0,12,0,50,0,97225.21,4.5770021993267,0.802261059657264,0
36061001800,2019,458,81,0,17,0,15,0,49,0,89407.09,5.12263624730433,0.905968419283079,0
36061001800,2020,166,63,0,16,0,17,0,30,0,91692.09,1.81040698276154,0.68708216815649,0
36061001800,2021,144,71,1,13,1,17,0,35,0,95313.21,1.5108084178468,0.744912483799465,0.0104917251239361
36061001800,2022,193,95,0,14,0,33,0,40,0,91258.07,2.11488145651119,1.04100382574385,0
